n,business,segment,city,contact,email,channel,subject,file,website,source_url,status
1,"FerguSon's Heating & Cooling, LLC",trades,Littleton,Cody Ferguson,Fergusonshvac5619@gmail.com,email,Metal tags for FerguSon's installs,001-ferguson-s-heating-cooling-llc.html,https://www.fergusonsheatingandcoolingllc.com/,https://www.fergusonsheatingandcoolingllc.com/,ready
2,Bill Smith Plumbing & Heating,trades,Englewood,,info@billsmith-plumbing.com,email,A tag for the House of Water Heaters,002-bill-smith-plumbing-heating.html,https://billsmith-plumbing.com/,https://billsmith-plumbing.com/,ready
3,The Electricians LLC,trades,Centennial,Tony Evans,info@theelectriciansco.com,email,Panel tags from a Centennial neighbor,003-the-electricians-llc.html,https://www.theelectriciansco.com/,https://www.theelectriciansco.com/,ready
4,JM Electric Inc.,trades,Aurora,,Dispatch@JMElectricinc.com,email,Metal tags for JM panel work,004-jm-electric-inc.html,https://jmelectricinc.com/,https://jmelectricinc.com/contact-us/,ready
5,Spark Garage Doors,trades,Aurora,Ofir Kalef,office@sparkgaragedoors.com,email,Service tags for Spark opener installs,005-spark-garage-doors.html,https://sparkgaragedoors.com/,https://sparkgaragedoors.com/about-us/,ready
6,Advanced Door Works,trades,Highlands Ranch,,,contact form at advanceddoorworks.com (or 720-573-2161),A metal tag for every door you service,006-advanced-door-works.html,https://www.advanceddoorworks.com/,https://www.advanceddoorworks.com/,ready
7,Columbine Roofing & Exteriors,trades,Castle Rock,,cre@columbineroofing.com,email,A business card that survives a hailstorm,007-columbine-roofing-exteriors.html,https://columbineroofing.com/,https://columbineroofing.com/,ready
8,Celtic Roofing,trades,Castle Rock,Eian McKinley,eian@celticroofing.com,email,Metal cards for Celtic's estimators,008-celtic-roofing.html,https://www.celticroofing.com/,https://www.celticroofing.com/about/,ready
9,Weston Landscape & Design,trades,Littleton (south metro service area),,info@westonlandscape.com,email,Marked tools stop walking off,009-weston-landscape-design.html,https://westonlandscape.net/,https://westonlandscape.net/contact/,ready
10,Water Solutions Sprinkler Service,trades,Parker,Jacob,Jacob@watersolutionco.com,email,Tags for the controllers you install,010-water-solutions-sprinkler-service.html,https://watersolutionsco.com/,https://watersolutionsco.com/contact,ready
11,Barco's Painting of Colorado,trades,Parker,Jeremy,jeremy@barcospainting.com,email,Pens for Barco's estimate visits,011-barco-s-painting-of-colorado.html,https://barcospainting.com/,https://barcospainting.com/contact-us/,ready
12,Greg the Painter,trades,Parker,Greg,greg@gregthepainter.com,email,From one one-man shop to another,012-greg-the-painter.html,https://gregthepainter.com/,https://gregthepainter.com/,ready
13,Maxx Limited,trades,"Denver (serves Parker, Castle Rock, south metro)",Marshall,info@maxxlimited.com,email,"Your name, engraved on your tools",013-maxx-limited.html,https://maxxlimited.com/,https://maxxlimited.com/,ready
14,Aim High HVAC,trades,Littleton,,,contact form at aimhighhvac.com (or 303-618-5722),Equipment tags for Aim High installs,014-aim-high-hvac.html,https://www.aimhighhvac.com/,https://www.aimhighhvac.com/,ready
15,West Main Taproom + Grill,restaurants,Parker,Pam,pam@gpmmgroup.com,email,Coasters for West Main's tap wall,015-west-main-taproom-grill.html,https://westmaintaproom.com/,https://westmaintaproom.com/,ready
16,Crowfoot Valley Coffee,restaurants,Castle Rock,Jason,Jason@CrowfootValleyCoffee.com,email,Slate coasters for Crowfoot and the Crow Bar,016-crowfoot-valley-coffee.html,https://crowfootvalleycoffee.com/,https://crowfootvalleycoffee.com/,ready
17,303 Coffee Co.,restaurants,Centennial,,303coffeecocentennial@gmail.com,email,Pens and coasters for 303 Coffee,017-303-coffee-co.html,http://www.303coffeeco.com/,http://www.303coffeeco.com/,ready
18,Max Taps Co.,restaurants,Highlands Ranch,Shelly,shelly@maxtaps.com,email,Coasters for the Max Taps bar,018-max-taps-co.html,https://www.maxtaps.com/,https://www.maxtaps.com/,ready
19,Locavore Beer Works,restaurants,Littleton,Chris,chris@locavorebeerworks.com,email,Slate coasters for the biergarten,019-locavore-beer-works.html,https://locavorebeerworks.com/,https://locavorebeerworks.com/,ready
20,Living the Dream Brewing,restaurants,Highlands Ranch,,info@LivingTheDreamBrewing.com,email,Coasters for the Living the Dream taproom,020-living-the-dream-brewing.html,https://livingthedreambrewing.com/,https://livingthedreambrewing.com/,ready
21,Angelo's Taverna,restaurants,Littleton,,info@angelosdenver.com,email,Coasters for the oyster bar,021-angelo-s-taverna.html,https://www.angelostaverna.com/,https://www.angelostaverna.com/,ready
22,Venalonzo's Tacos,restaurants,Lone Tree,,cateringvenalonzos@gmail.com,email,Pens for the Venalonzo's counters,022-venalonzo-s-tacos.html,https://venalonzostacos.com/,https://venalonzostacos.com/,ready
23,Brewability,restaurants,Englewood,,brewabilitylab@gmail.com,email,Slate coasters for Brewability,023-brewability.html,https://www.brew-ability.com/,https://www.brew-ability.com/contact,ready
24,Downhill Brewing,restaurants,Greenwood Village,,info@downhillbrews.com,email,Coasters for beer and pizza nights,024-downhill-brewing.html,https://www.downhillbrews.com/,https://www.downhillbrews.com/faqs,ready
25,Dry Dock Brewing Company,restaurants,south Aurora,Kevin DeLange,,contact form,Coasters for South Dock,025-dry-dock-brewing-company.html,https://www.drydockbrewing.com/,https://www.drydockbrewing.com/about,ready
26,Bent Barley Brewing Company,restaurants,south Aurora (Southlands),Mark Job,cheers@bentbarley.com,email,Coasters for Southlands and Creeks,026-bent-barley-brewing-company.html,https://bentbarley.com/,https://bentbarley.com/faq.html,ready
27,Scileppi's at The Old Stone Church,restaurants,Castle Rock,,,contact form,Coasters for the Old Stone Church,027-scileppi-s-at-the-old-stone-church.html,https://scileppis.com/,https://business.castlerock.org/list/member/scileppi-s-at-the-old-stone-church-28800,ready
28,Raptors Athletics,teams-orgs,Castle Rock,,support@raptorsathletics.org,email,Season-end medals for Raptors teams,028-raptors-athletics.html,https://www.raptorsathletics.org/,https://www.raptorsathletics.org/,ready
29,Parker Youth Sports (Parker Hawks),teams-orgs,Parker,Ken Thomas,Admin@parkerhawks.org,email,Coach gifts and tags for the Hawks,029-parker-youth-sports-parker-hawks.html,https://parkerhawks.org/,https://parkerhawks.org/content/4/Organization,ready
30,Skyline Soccer Association,teams-orgs,Englewood,,info@skylinesoccer.org,email,Medals for Skyline Cup and season end,030-skyline-soccer-association.html,https://www.skylinesoccer.org/,https://www.skylinesoccer.org/,ready
31,BSA Scout Troop 989,teams-orgs,Littleton,Amy Shaw,committeechairtroop989@gmail.com,email,Engraved gear tags for Troop 989,031-bsa-scout-troop-989.html,https://www.bsatroop989.org/,https://www.bsatroop989.org/contact,ready
32,Parker Task Force,teams-orgs,Parker,,foodbank@parkertaskforce.org,email,Thank-yous for your food bank volunteers,032-parker-task-force.html,https://parkertaskforce.org/,https://parkertaskforce.org/WP/about/contact-us/,ready
33,Arapahoe Warrior XC Booster Club,teams-orgs,Centennial,Mike Turner,ahsxcbooster@gmail.com,email,Awards for the Arapahoe Warrior 5k,033-arapahoe-warrior-xc-booster-club.html,https://sites.google.com/lps.k12.co.us/arapahoe-warrior-xc/booster-club,https://sites.google.com/lps.k12.co.us/arapahoe-warrior-xc/booster-club,ready
34,Backpack Society,teams-orgs,Highlands Ranch,,info@backpacksociety.org,email,Recognition pieces for your sponsors,034-backpack-society.html,https://www.backpacksociety.org/,https://www.backpacksociety.org/contact,ready
35,Help & Hope Center,teams-orgs,Castle Rock,,info@helpandhopecenter.org,email,Plaques for the people behind Help & Hope,035-help-hope-center.html,https://www.helpandhopecenter.org/,https://www.helpandhopecenter.org/,ready
36,Cherry Creek HS Baseball Dugout Club,teams-orgs,Greenwood Village,Chris Stouse,cherrycreekdc@gmail.com,email,Senior night plates for Creek baseball,036-cherry-creek-hs-baseball-dugout-club.html,https://cherrycreekhs.rschoolteams.com/page/5468,https://cherrycreekhs.rschoolteams.com/page/5468,ready
